,date,highest,lowest,weather,wind
759,2015-03-01 星期日 ,9℃,4℃,阴转多云,北风~西北风 3-4级~小于3级
760,2015-03-02 星期一 ,12℃,3℃,多云转晴,西北风~东南风 小于3级
761,2015-03-03 星期二 ,14℃,7℃,小雨转阴,东南风~西北风 小于3级~3-4级
762,2015-03-04 星期三 ,7℃,3℃,多云转阴,北风~东北风 3-4级~小于3级
763,2015-03-05 星期四 ,6℃,3℃,雨夹雪,东北风 小于3级
764,2015-03-06 星期五 ,8℃,4℃,小雨转阴,东北风 小于3级
765,2015-03-07 星期六 ,11℃,4℃,阴转多云,东北风 小于3级
766,2015-03-08 星期日 ,12℃,7℃,阴转小雨,东风~东南风 小于3级
767,2015-03-09 星期一 ,10℃,5℃,小雨转阴,西风~北风 小于3级~3-4级
768,2015-03-10 星期二 ,7℃,2℃,多云,北风~微风 3-4级~小于3级
769,2015-03-11 星期三 ,11℃,3℃,多云,微风~东风 小于3级
770,2015-03-12 星期四 ,16℃,5℃,多云转晴,南风 小于3级
771,2015-03-13 星期五 ,20℃,7℃,晴,南风 小于3级
772,2015-03-14 星期六 ,16℃,10℃,多云转小雨,南风~东风 小于3级
773,2015-03-15 星期日 ,14℃,10℃,小雨,东风 小于3级
774,2015-03-16 星期一 ,15℃,10℃,小雨转阴,东风~东南风 小于3级
775,2015-03-17 星期二 ,19℃,12℃,阴转小雨,东南风 小于3级
776,2015-03-18 星期三 ,24℃,15℃,中雨转小雨,南风 小于3级
777,2015-03-19 星期四 ,16℃,11℃,中雨转多云,西北风~微风 小于3级
778,2015-03-20 星期五 ,14℃,10℃,小雨,东北风 小于3级
779,2015-03-21 星期六 ,20℃,10℃,小雨转多云,东北风~西北风 小于3级
780,2015-03-22 星期日 ,17℃,10℃,晴转多云,西北风~东北风 小于3级
781,2015-03-23 星期一 ,16℃,10℃,多云,东风 小于3级
782,2015-03-24 星期二 ,15℃,9℃,多云,东风 小于3级
783,2015-03-25 星期三 ,15℃,9℃,多云转晴,东风 小于3级
784,2015-03-26 星期四 ,17℃,10℃,多云,东风 小于3级
785,2015-03-27 星期五 ,14℃,11℃,小雨,东风~东北风 小于3级
786,2015-03-28 星期六 ,20℃,9℃,阴转多云,东北风~南风 小于3级
787,2015-03-29 星期日 ,24℃,11℃,多云,南风 小于3级
788,2015-03-30 星期一 ,17℃,14℃,小雨,东南风 小于3级~3-4级
789,2015-03-31 星期二 ,26℃,15℃,阴转多云,东南风~南风 3-4级~小于3级
790,2015-04-01 星期三 ,24℃,17℃,多云转阴,东南风~东风 小于3级
791,2015-04-02 星期四 ,30℃,17℃,多云,南风 小于3级~3-4级
792,2015-04-03 星期五 ,21℃,15℃,小雨,西北风~东北风 小于3级
793,2015-04-04 星期六 ,22℃,13℃,小雨转阴,东风~东南风 小于3级
794,2015-04-05 星期日 ,17℃,14℃,雷阵雨转中雨,北风~东北风 小于3级
795,2015-04-06 星期一 ,13℃,10℃,中雨转小雨,东北风 小于3级~3-4级
796,2015-04-07 星期二 ,10℃,7℃,小雨,东北风 3-4级
797,2015-04-08 星期三 ,13℃,6℃,小雨转阴,东北风 小于3级
798,2015-04-09 星期四 ,14℃,7℃,多云转阴,东北风~东风 小于3级
799,2015-04-10 星期五 ,17℃,9℃,阴转多云,东风~东北风 小于3级
800,2015-04-11 星期六 ,18℃,10℃,多云转晴,东北风~东风 小于3级
801,2015-04-12 星期日 ,20℃,11℃,多云,东风~南风 小于3级
802,2015-04-13 星期一 ,15℃,9℃,阵雨转小雨,西北风 小于3级~3-4级
803,2015-04-14 星期二 ,16℃,8℃,小雨转多云,西北风 3-4级
804,2015-04-15 星期三 ,22℃,11℃,多云,西南风 小于3级
805,2015-04-16 星期四 ,23℃,15℃,多云,西南风~西北风 小于3级
806,2015-04-17 星期五 ,20℃,13℃,多云,东北风~东南风 小于3级
807,2015-04-18 星期六 ,28℃,16℃,多云,东南风~南风 小于3级
808,2015-04-19 星期日 ,26℃,18℃,多云转阵雨,南风 小于3级
809,2015-04-20 星期一 ,17℃,13℃,大雨转小雨,北风 3-4级
810,2015-04-21 星期二 ,20℃,10℃,多云转晴,东北风~东风 小于3级
811,2015-04-22 星期三 ,24℃,11℃,晴,南风~西南风 小于3级
812,2015-04-23 星期四 ,24℃,15℃,多云,南风~东南风 小于3级
813,2015-04-24 星期五 ,24℃,14℃,多云,东南风 小于3级
814,2015-04-25 星期六 ,26℃,14℃,多云转晴,东南风 小于3级
815,2015-04-26 星期日 ,27℃,15℃,多云转晴,东南风 小于3级
816,2015-04-27 星期一 ,26℃,17℃,多云,东南风 小于3级~3-4级
817,2015-04-28 星期二 ,28℃,19℃,多云,东南风~南风 小于3级
818,2015-04-29 星期三 ,25℃,19℃,雷阵雨转阴,西风~西北风 小于3级
819,2015-04-30 星期四 ,25℃,15℃,多云,西北风~微风 小于3级
820,2015-05-01 星期五 ,25℃,16℃,多云,东北风~东南风 小于3级
821,2015-05-02 星期六 ,23℃,17℃,阵雨转中雨,东南风 3-4级
822,2015-05-03 星期日 ,23℃,17℃,小雨转多云,西北风 3-4级
823,2015-05-04 星期一 ,23℃,15℃,多云,微风~东北风 小于3级
824,2015-05-05 星期二 ,24℃,15℃,多云,东北风~东南风 小于3级
825,2015-05-06 星期三 ,22℃,17℃,阴,东南风 小于3级
826,2015-05-07 星期四 ,27℃,17℃,多云,东南风~东风 小于3级
827,2015-05-08 星期五 ,24℃,17℃,阵雨~小雨,东南风~东风 小于3级
828,2015-05-09 星期五 ,25℃,17℃,阵雨~小雨,东南风~东风 小于3级
829,2015-05-10 星期日 ,21℃,16℃,阴~多云,东南风~东风 小于3级
830,2015-05-11 星期一 ,24℃,17℃,多云~小雨,东南风~东风 小于3级
831,2015-05-12 星期二 ,21℃,15℃,中雨~多云,东南风~东风 小于3级
832,2015-05-13 星期三 ,31℃,22℃,多云,东南风~东风 小于3级
833,2015-05-14 星期四 ,28℃,20℃,雷雨,东南风~东风 小于3级
834,2015-05-15 星期五 ,25℃,17℃,大雨~小雨,东南风~东风 小于3级
835,2015-05-16 星期六 ,24℃,16℃,阴~多云,东南风~东风 小于3级
836,2015-05-17 星期日 ,25℃,18℃,多云~阵雨,东南风~东风 小于3级
837,2015-05-18 星期一 ,23℃,20℃,阵雨~阴,东南风~东风 小于3级
838,2015-05-19 星期二 ,28℃,19℃,多云,东南风~东风 小于3级
839,2015-05-20 星期三 ,27℃,17℃,多云,东南风~东风 小于3级
840,2015-05-21 星期四 ,25℃,17℃,晴,东南风~东风 小于3级
841,2015-05-22 星期五 ,25℃,19℃,多云~阴,东南风~东风 小于3级
842,2015-05-23 星期六 ,24℃,17℃,晴~阴,东南风~东风 小于3级
843,2015-05-24 星期日 ,23℃,18℃,多云,东南风~东风 小于3级
844,2015-05-25 星期一 ,26℃,18℃,多云,东南风~东风 小于3级
845,2015-05-26 星期二 ,27℃,20℃,多云,东南风~东风 小于3级
846,2015-05-27 星期三 ,24℃,20℃,阵雨,东南风~东风 小于3级
847,2015-05-28 星期四 ,24℃,20℃,阵雨,东南风~东风 小于3级
848,2015-05-29 星期五 ,26℃,21℃,小雨~中雨,东南风~东风 小于3级
849,2015-05-30 星期六 ,25℃,19℃,小雨~多云,东南风~东风 小于3级
850,2015-05-31 星期日 ,27℃,20℃,晴,东南风~东风 小于3级
851,2015-07-01 星期三 ,27℃,22℃,中雨~阴,东南风~东风 小于3级
852,2015-07-02 星期四 ,29℃,22℃,多云,东南风~东风 小于3级
853,2015-07-03 星期五 ,28℃,22℃,多云~阴,东南风~东风 小于3级
854,2015-07-04 星期六 ,25℃,21℃,阵雨~阴,东南风~东风 小于3级
855,2015-07-05 星期日 ,25℃,20℃,阵雨~小雨,东南风~东风 小于3级
856,2015-07-06 星期一 ,23℃,21℃,中雨,东南风~东风 小于3级
857,2015-07-07 星期二 ,23℃,21℃,大雨~中雨,东南风~东风 小于3级
858,2015-07-08 星期三 ,26℃,23℃,小雨~阴,东南风~东风 小于3级
859,2015-07-09 星期四 ,28℃,24℃,小雨,东南风~东风 小于3级
860,2015-07-10 星期五 ,29℃,24℃,阵雨~中雨,东南风~东风 小于3级
861,2015-07-11 星期六 ,26℃,24℃,暴雨~中雨,东南风~东风 小于3级
862,2015-07-12 星期日 ,28℃,24℃,小雨~阴,东南风~东风 小于3级
863,2015-07-13 星期一 ,33℃,25℃,多云,东南风~东风 小于3级
864,2015-07-14 星期二 ,34℃,25℃,多云,东南风~东风 小于3级
865,2015-07-15 星期三 ,31℃,24℃,多云,东南风~东风 小于3级
866,2015-07-16 星期四 ,29℃,24℃,多云~阴,东南风~东风 小于3级
867,2015-07-17 星期五 ,28℃,25℃,小雨~阵雨,东南风~东风 小于3级
868,2015-07-18 星期六 ,28℃,24℃,小雨~阴,东南风~东风 小于3级
869,2015-07-19 星期日 ,30℃,25℃,阴,东南风~东风 小于3级
870,2015-07-20 星期一 ,31℃,26℃,阴~多云,东南风~东风 小于3级
871,2015-07-21 星期二 ,30℃,25℃,阴,东南风~东风 小于3级
872,2015-07-22 星期三 ,30℃,26℃,阵雨,东南风~东风 小于3级
873,2015-07-23 星期四 ,31℃,26℃,中雨~小雨,东南风~东风 小于3级
874,2015-07-24 星期五 ,33℃,27℃,阵雨~多云,东南风~东风 小于3级
875,2015-07-25 星期六 ,34℃,27℃,阵雨~多云,东南风~东风 小于3级
876,2015-07-26 星期日 ,34℃,27℃,阵雨~多云,东南风~东风 小于3级
877,2015-07-27 星期一 ,36℃,28℃,雷阵雨~多云,东南风~东风 小于3级
878,2015-07-28 星期二 ,37℃,29℃,晴,东南风~东风 小于3级
879,2015-07-29 星期三 ,38℃,30℃,晴,东南风~东风 小于3级
880,2015-07-30 星期四 ,37℃,29℃,多云~晴,东南风~东风 小于3级
881,2015-07-31 星期五 ,37℃,29℃,晴,东南风~东风 小于3级
882,2015-08-01 星期六 ,38℃,29℃,晴,东南风~东风 小于3级
883,2015-08-02 星期日 ,38℃,29℃,晴,东南风~东风 小于3级
884,2015-08-03 星期一 ,38℃,29℃,晴,东南风~东风 小于3级
885,2015-08-04 星期二 ,38℃,28℃,晴,东南风~东风 小于3级
886,2015-08-05 星期三 ,36℃,27℃,晴~多云,东南风~东风 小于3级
887,2015-08-06 星期四 ,35℃,27℃,晴~多云,东南风~东风 小于3级
888,2015-08-07 星期五 ,33℃,27℃,阵雨,东南风~东风 小于3级
889,2015-08-08 星期六 ,31℃,27℃,阵雨~中雨,东南风~东风 小于3级
890,2015-08-09 星期日 ,30℃,27℃,中雨~阵雨,东南风~东风 小于3级
891,2015-08-10 星期一 ,31℃,28℃,阵雨,东南风~东风 小于3级
892,2015-08-11 星期二 ,30℃,26℃,中雨~阵雨,东南风~东风 小于3级
893,2015-08-12 星期三 ,30℃,25℃,小雨~多云,东南风~东风 小于3级
894,2015-08-13 星期四 ,32℃,25℃,多云,东南风~东风 小于3级
895,2015-08-14 星期五 ,32℃,25℃,多云,东南风~东风 小于3级
896,2015-08-15 星期六 ,31℃,26℃,小雨~阵雨,东南风~东风 小于3级
897,2015-08-16 星期日 ,30℃,25℃,阵雨~多云,东南风~东风 小于3级
898,2015-08-17 星期一 ,32℃,25℃,多云,东南风~东风 小于3级
899,2015-08-18 星期二 ,32℃,26℃,多云,东南风~东风 小于3级
900,2015-08-19 星期三 ,32℃,26℃,多云,东南风~东风 小于3级
901,2015-08-20 星期四 ,33℃,25℃,雷阵雨~中雨,东南风~东风 小于3级
902,2015-08-21 星期五 ,29℃,24℃,阵雨,东南风~东风 小于3级
903,2015-08-22 星期六 ,27℃,24℃,中雨~阵雨,东南风~东风 小于3级
904,2015-08-23 星期日 ,25℃,23℃,大雨~小雨,东南风~东风 小于3级
905,2015-08-24 星期一 ,26℃,23℃,中雨~小雨,东南风~东风 小于3级
906,2015-08-25 星期二 ,28℃,23℃,多云,东南风~东风 小于3级
907,2015-08-26 星期三 ,30℃,23℃,多云,东南风~东风 小于3级
908,2015-08-27 星期四 ,31℃,24℃,阵雨~多云,东南风~东风 小于3级
909,2015-08-28 星期五 ,30℃,23℃,雷阵雨~多云,东南风~东风 小于3级
910,2015-08-29 星期六 ,30℃,23℃,多云,东南风~东风 小于3级
911,2015-08-30 星期日 ,30℃,23℃,多云,东南风~东风 小于3级
912,2015-08-31 星期一 ,31℃,24℃,多云,东南风~东风 小于3级
913,2015-09-01 星期二 ,30℃,24℃,多云,东南风~东风 小于3级
914,2015-09-02 星期三 ,30℃,24℃,雷阵雨~多云,东南风~东风 小于3级
915,2015-09-03 星期四 ,31℃,24℃,多云,东南风~东风 小于3级
916,2015-09-04 星期五 ,30℃,24℃,阴~阵雨,东南风~东风 小于3级
917,2015-09-05 星期六 ,29℃,24℃,中雨~多云,东南风~东风 小于3级
918,2015-09-06 星期日 ,29℃,23℃,阵雨~多云,东南风~东风 小于3级
919,2015-09-07 星期一 ,29℃,23℃,阵雨~多云,东南风~东风 小于3级
920,2015-09-08 星期二 ,29℃,22℃,多云,东南风~东风 小于3级
921,2015-09-09 星期三 ,29℃,22℃,晴~多云,东南风~东风 小于3级
922,2015-09-10 星期四 ,29℃,22℃,多云,东南风~东风 小于3级
923,2015-09-11 星期五 ,30℃,22℃,多云~小雨,东南风~东风 小于3级
924,2015-09-12 星期六 ,26℃,20℃,小雨~多云,东南风~东风 小于3级
925,2015-09-13 星期日 ,26℃,21℃,多云,东南风~东风 小于3级
926,2015-09-14 星期一 ,26℃,22℃,阵雨,东南风~东风 小于3级
927,2015-09-15 星期二 ,27℃,22℃,阵雨,东南风~东风 小于3级
928,2015-09-16 星期三 ,26℃,20℃,小雨~阴,东南风~东风 小于3级
929,2015-09-17 星期四 ,28℃,20℃,多云,东南风~东风 小于3级
930,2015-09-18 星期五 ,28℃,21℃,多云,东南风~东风 小于3级
931,2015-09-19 星期六 ,26℃,21℃,多云,东南风~东风 小于3级
932,2015-09-20 星期日 ,26℃,21℃,阴~多云,东南风~东风 小于3级
933,2015-09-21 星期一 ,27℃,22℃,多云,东南风~东风 小于3级
934,2015-09-22 星期二 ,26℃,21℃,小雨~中雨,东南风~东风 小于3级
935,2015-09-23 星期三 ,26℃,21℃,小雨~多云,东南风~东风 小于3级
936,2015-09-24 星期四 ,27℃,22℃,多云~阴,东南风~东风 小于3级
937,2015-09-25 星期五 ,26℃,22℃,小雨~多云,东南风~东风 小于3级
938,2015-09-26 星期六 ,27℃,21℃,多云,东南风~东风 小于3级
939,2015-09-27 星期日 ,28℃,22℃,晴~多云,东南风~东风 小于3级
940,2015-09-28 星期一 ,28℃,23℃,阵雨,东南风~东风 小于3级
941,2015-09-29 星期二 ,25℃,23℃,小雨~中雨,东南风~东风 小于3级
942,2015-09-30 星期三 ,26℃,24℃,中雨,东南风~东风 小于3级
943,2015-10-01 星期四 ,26℃,17℃,小雨~多云,东南风~东风 小于3级
944,2015-10-02 星期五 ,25℃,18℃,晴,东南风~东风 小于3级
945,2015-10-03 星期六 ,27℃,20℃,多云,东南风~东风 小于3级
946,2015-10-04 星期日 ,25℃,20℃,阵雨~中雨,东南风~东风 小于3级
947,2015-10-05 星期一 ,21℃,19℃,小雨,东南风~东风 小于3级
948,2015-10-06 星期二 ,24℃,20℃,阴,东南风~东风 小于3级
949,2015-10-07 星期三 ,23℃,19℃,小雨,东南风~东风 小于3级
950,2015-10-08 星期四 ,23℃,18℃,小雨~阴,东南风~东风 小于3级
951,2015-10-09 星期五 ,23℃,17℃,多云,东南风~东风 小于3级
952,2015-10-10 星期六 ,23℃,14℃,多云~晴,东南风~东风 小于3级
953,2015-10-11 星期日 ,21℃,13℃,晴,东南风~东风 小于3级
954,2015-10-12 星期一 ,23℃,14℃,晴,东南风~东风 小于3级
955,2015-10-13 星期二 ,24℃,16℃,晴,东南风~东风 小于3级
956,2015-10-14 星期三 ,25℃,17℃,晴,东南风~东风 小于3级
957,2015-10-15 星期四 ,26℃,17℃,晴,东南风~东风 小于3级
958,2015-10-16 星期五 ,26℃,18℃,晴,东南风~东风 小于3级
959,2015-10-17 星期六 ,25℃,18℃,晴~多云,东南风~东风 小于3级
960,2015-10-18 星期日 ,24℃,19℃,多云,东南风~东风 小于3级
961,2015-10-19 星期一 ,25℃,19℃,多云,东南风~东风 小于3级
962,2015-10-20 星期二 ,24℃,19℃,多云,东南风~东风 小于3级
963,2015-10-21 星期三 ,26℃,19℃,晴,东南风~东风 小于3级
964,2015-10-22 星期四 ,26℃,20℃,晴~多云,东南风~东风 小于3级
965,2015-10-23 星期五 ,25℃,20℃,多云,东南风~东风 小于3级
966,2015-10-24 星期六 ,24℃,19℃,多云~小雨,东南风~东风 小于3级
967,2015-10-25 星期日 ,23℃,18℃,阴~多云,东南风~东风 小于3级
968,2015-10-26 星期一 ,26℃,18℃,多云~小雨,东南风~东风 小于3级
969,2015-10-27 星期二 ,21℃,14℃,多云~晴,东南风~东风 小于3级
970,2015-10-28 星期三 ,21℃,16℃,多云~小雨,东南风~东风 小于3级
971,2015-10-29 星期四 ,19℃,15℃,小雨~中雨,东南风~东风 小于3级
972,2015-10-30 星期五 ,17℃,14℃,小雨~阴,东南风~东风 小于3级
973,2015-10-31 星期六 ,17℃,13℃,阴~中雨,东南风~东风 小于3级
974,2015-11-01 星期日 ,15℃,12℃,小雨~多云,东南风~东风 小于3级
975,2015-11-02 星期一 ,18℃,12℃,晴,东南风~东风 小于3级
976,2015-11-03 星期二 ,20℃,16℃,多云,东南风~东风 小于3级
977,2015-11-04 星期三 ,21℃,17℃,小雨,东南风~东风 小于3级
978,2015-11-05 星期四 ,23℃,19℃,小雨,东南风~东风 小于3级
979,2015-11-06 星期五 ,24℃,21℃,小雨~多云,东南风~东风 小于3级
980,2015-11-07 星期六 ,24℃,17℃,中雨~阵雨,东南风~东风 小于3级
981,2015-11-08 星期日 ,20℃,15℃,小雨,东南风~东风 小于3级
982,2015-11-09 星期一 ,16℃,13℃,阴~多云,东南风~东风 小于3级
983,2015-11-10 星期二 ,16℃,13℃,多云~阴,东南风~东风 小于3级
984,2015-11-11 星期三 ,16℃,14℃,阴,东南风~东风 小于3级
985,2015-11-12 星期四 ,19℃,17℃,小雨,东南风~东风 小于3级
986,2015-11-13 星期五 ,17℃,15℃,小雨,东南风~东风 小于3级
987,2015-11-14 星期六 ,18℃,13℃,阴~多云,东南风~东风 小于3级
988,2015-11-15 星期日 ,19℃,16℃,多云~阵雨,东南风~东风 小于3级
989,2015-11-16 星期一 ,20℃,17℃,阵雨,东南风~东风 小于3级
990,2015-11-17 星期二 ,17℃,15℃,小雨~阵雨,东南风~东风 小于3级
991,2015-11-18 星期三 ,17℃,14℃,小雨,东南风~东风 小于3级
992,2015-11-19 星期四 ,16℃,13℃,小雨,东南风~东风 小于3级
993,2015-11-20 星期五 ,17℃,15℃,小雨~小到中雨,东南风~东风 小于3级
994,2015-11-21 星期六 ,17℃,14℃,阵雨,东南风~东风 小于3级
995,2015-11-22 星期日 ,19℃,15℃,阴,东南风~东风 小于3级
996,2015-11-23 星期一 ,18℃,12℃,阵雨~小雨,东南风~东风 小于3级
997,2015-11-24 星期二 ,14℃,9℃,小雨,东南风~东风 小于3级
998,2015-11-25 星期三 ,9℃,4℃,多云,东南风~东风 小于3级
999,2015-11-26 星期四 ,5℃,1℃,晴,东南风~东风 小于3级
1000,2015-11-27 星期五 ,7℃,4℃,晴,东南风~东风 小于3级
1001,2015-11-28 星期六 ,12℃,7℃,阴~小雨,东南风~东风 小于3级
1002,2015-11-29 星期日 ,14℃,8℃,阴~多云,东南风~东风 小于3级
1003,2015-11-30 星期一 ,15℃,11℃,多云,东南风~东风 小于3级
1004,2015-12-01 星期二 ,17℃,12℃,阴~小雨,东南风~东风 小于3级
1005,2015-12-02 星期三 ,13℃,6℃,小雨~多云,东南风~东风 小于3级
1006,2015-12-03 星期四 ,11℃,3℃,晴,东南风~东风 小于3级
1007,2015-12-04 星期五 ,10℃,4℃,阴,东南风~东风 小于3级
1008,2015-12-05 星期六 ,8℃,5℃,小雨,东南风~东风 小于3级
1009,2015-12-06 星期日 ,11℃,6℃,多云,东南风~东风 小于3级
1010,2015-12-07 星期一 ,12℃,7℃,多云~晴,东南风~东风 小于3级
1011,2015-12-08 星期二 ,13℃,10℃,多云,东南风~东风 小于3级
1012,2015-12-09 星期三 ,14℃,12℃,小雨~中雨,东南风~东风 小于3级
1013,2015-12-10 星期四 ,13℃,10℃,中雨~小雨,东南风~东风 小于3级
1014,2015-12-11 星期五 ,12℃,6℃,阴~多云,东南风~东风 小于3级
1015,2015-12-12 星期六 ,11℃,7℃,多云,东南风~东风 小于3级
1016,2015-12-13 星期日 ,11℃,9℃,小雨,东南风~东风 小于3级
1017,2015-12-14 星期一 ,10℃,6℃,阴,东南风~东风 小于3级
1018,2015-12-15 星期二 ,10℃,4℃,多云,东南风~东风 小于3级
1019,2015-12-16 星期三 ,5℃,0℃,晴,东南风~东风 小于3级
1020,2015-12-17 星期四 ,6℃,1℃,多云,东南风~东风 小于3级
1021,2015-12-18 星期五 ,8℃,5℃,多云,东南风~东风 小于3级
1022,2015-12-19 星期六 ,11℃,8℃,多云~阴,东南风~东风 小于3级
1023,2015-12-20 星期日 ,12℃,8℃,小雨,东南风~东风 小于3级
1024,2015-12-21 星期一 ,12℃,10℃,多云~阴,东南风~东风 小于3级
1025,2015-12-22 星期二 ,13℃,11℃,小雨,东南风~东风 小于3级
1026,2015-12-23 星期三 ,13℃,9℃,小雨,东南风~东风 小于3级
1027,2015-12-24 星期四 ,10℃,6℃,小雨,东南风~东风 小于3级
1028,2015-12-25 星期五 ,10℃,5℃,多云,东南风~东风 小于3级
1029,2015-12-26 星期六 ,13℃,6℃,多云,东南风~东风 小于3级
1030,2015-12-27 星期日 ,11℃,5℃,阴,东南风~东风 小于3级
1031,2015-12-28 星期一 ,9℃,4℃,多云~晴,东南风~东风 小于3级
1032,2015-12-29 星期二 ,10℃,5℃,多云,东南风~东风 小于3级
1033,2015-12-30 星期三 ,11℃,5℃,多云,东南风~东风 小于3级
1034,2015-12-31 星期四 ,10℃,4℃,晴,东南风~东风 小于3级
1035,2016-01-01 星期五 ,12℃,7℃,晴~多云,东南风~东风 小于3级
1036,2016-01-02 星期六 ,15℃,9℃,多云~小雨,东南风~东风 小于3级
1037,2016-01-03 星期日 ,15℃,9℃,阴,东南风~东风 小于3级
1038,2016-01-04 星期一 ,13℃,9℃,小雨~中雨,东南风~东风 小于3级
1039,2016-01-05 星期二 ,10℃,8℃,小雨,东南风~东风 小于3级
1040,2016-01-06 星期三 ,8℃,5℃,小雨~阴,东南风~东风 小于3级
1041,2016-01-07 星期四 ,9℃,4℃,多云~阴,东南风~东风 小于3级
1042,2016-01-08 星期五 ,8℃,3℃,多云,东南风~东风 小于3级
1043,2016-01-09 星期六 ,9℃,6℃,多云~阴,东南风~东风 小于3级
1044,2016-01-10 星期日 ,10℃,7℃,小雨~中雨,东南风~东风 小于3级
1045,2016-01-11 星期一 ,8℃,4℃,小雨,东南风~东风 小于3级
1046,2016-01-12 星期二 ,5℃,1℃,阴~多云,东南风~东风 小于3级
1047,2016-01-13 星期三 ,6℃,1℃,多云,东南风~东风 小于3级
1048,2016-01-14 星期四 ,7℃,4℃,多云,东南风~东风 小于3级
1049,2016-01-15 星期五 ,10℃,4℃,多云,东南风~东风 小于3级
1050,2016-01-16 星期六 ,10℃,5℃,多云~小雨,东南风~东风 小于3级
1051,2016-01-17 星期日 ,8℃,3℃,小雨~多云,东南风~东风 小于3级
1052,2016-01-18 星期一 ,5℃,-1℃,多云~晴,东南风~东风 小于3级
1053,2016-01-19 星期二 ,4℃,-1℃,晴~多云,东南风~东风 小于3级
1054,2016-01-20 星期三 ,5℃,3℃,阴~雨夹雪,东南风~东风 小于3级
1055,2016-01-21 星期四 ,4℃,2℃,雨夹雪,东南风~东风 小于3级
1056,2016-01-22 星期五 ,4℃,0℃,小雨~小雪,东南风~东风 小于3级
1057,2016-01-23 星期六 ,-1℃,-7℃,多云~晴,东南风~东风 小于3级
1058,2016-01-24 星期日 ,-6℃,-7℃,晴,东南风~东风 小于3级
1059,2016-01-25 星期一 ,2℃,-3℃,晴,东南风~东风 小于3级
1060,2016-01-26 星期二 ,6℃,1℃,晴~阴,东南风~东风 小于3级
1061,2016-01-27 星期三 ,8℃,6℃,小雨~中雨,东南风~东风 小于3级
1062,2016-01-28 星期四 ,9℃,6℃,小雨,东南风~东风 小于3级
1063,2016-01-29 星期五 ,6℃,4℃,小雨,东南风~东风 小于3级
1064,2016-01-30 星期六 ,7℃,3℃,小雨~阴,东南风~东风 小于3级
1065,2016-01-31 星期日 ,6℃,1℃,阴~雨夹雪,东南风~东风 小于3级
1066,2016-02-01 星期一 ,4℃,0℃,阴,东南风~东风 小于3级
1067,2016-02-02 星期二 ,4℃,0℃,多云,东南风~东风 小于3级
1068,2016-02-03 星期三 ,7℃,2℃,晴~多云,东南风~东风 小于3级
1069,2016-02-04 星期四 ,6℃,1℃,小雨~多云,东南风~东风 小于3级
1070,2016-02-05 星期五 ,8℃,1℃,晴~多云,东南风~东风 小于3级
1071,2016-02-06 星期六 ,6℃,0℃,多云~晴,东南风~东风 小于3级
1072,2016-02-07 星期日 ,8℃,3℃,多云,东南风~东风 小于3级
1073,2016-02-08 星期一 ,13℃,3℃,晴,东南风~东风 小于3级
1074,2016-02-09 星期二 ,17℃,8℃,晴,东南风~东风 小于3级
1075,2016-02-10 星期三 ,18℃,12℃,多云~阵雨,东南风~东风 小于3级
1076,2016-02-11 星期四 ,17℃,14℃,阵雨~多云,东南风~东风 小于3级
1077,2016-02-12 星期五 ,22℃,15℃,多云~阴,东南风~东风 小于3级
1078,2016-02-13 星期六 ,15℃,5℃,小雨,东南风~东风 小于3级
1079,2016-02-14 星期日 ,4℃,0℃,阴~多云,东南风~东风 小于3级
1080,2016-02-15 星期一 ,5℃,0℃,晴,东南风~东风 小于3级
1081,2016-02-16 星期二 ,10℃,3℃,晴,东南风~东风 小于3级
1082,2016-02-17 星期三 ,11℃,6℃,晴~多云,东南风~东风 小于3级
1083,2016-02-18 星期四 ,15℃,7℃,晴~多云,东南风~东风 小于3级
1084,2016-02-19 星期五 ,12℃,5℃,小雨~阴,东南风~东风 小于3级
1085,2016-02-20 星期六 ,11℃,3℃,晴,东南风~东风 小于3级
1086,2016-02-21 星期日 ,10℃,5℃,多云~小雨,东南风~东风 小于3级
1087,2016-02-22 星期一 ,7℃,5℃,中雨~阴,东南风~东风 小于3级
1088,2016-02-23 星期二 ,10℃,3℃,阴~多云,东南风~东风 小于3级
1089,2016-02-24 星期三 ,9℃,2℃,晴,东南风~东风 小于3级
1090,2016-02-25 星期四 ,11℃,5℃,晴~多云,东南风~东风 小于3级
1091,2016-02-26 星期五 ,15℃,8℃,多云,东南风~东风 小于3级
1092,2016-02-27 星期六 ,18℃,9℃,晴,东南风~东风 小于3级
1093,2016-02-28 星期日 ,21℃,5℃,小雨,东南风~东风 小于3级
1094,2016-02-29 星期一 ,10℃,2℃,晴,东南风~东风 小于3级
1095,2016-04-01 星期五 ,22℃,14℃,晴~多云,东南风~东风 小于3级
1096,2016-04-02 星期六 ,22℃,11℃,多云,东南风~东风 小于3级
1097,2016-04-03 星期日 ,16℃,11℃,阵雨~阴,东南风~东风 小于3级
1098,2016-04-04 星期一 ,17℃,12℃,阵雨~阴,东南风~东风 小于3级
1099,2016-04-05 星期二 ,18℃,11℃,多云,东南风~东风 小于3级
1100,2016-04-06 星期三 ,18℃,13℃,阴~中雨,东南风~东风 小于3级
1101,2016-04-07 星期四 ,18℃,13℃,小雨~多云,东南风~东风 小于3级
1102,2016-04-08 星期五 ,17℃,12℃,小雨~多云,东南风~东风 小于3级
1103,2016-04-09 星期六 ,21℃,14℃,多云,东南风~东风 小于3级
